expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
6/23/21,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,McMillan  Herb Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
5/3/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/16/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,1.74,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/4/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
11/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/2/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/31/21,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/27/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/21/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/31/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,100,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
1/18/22,NationBuilder - Stripe,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,159,Albert  Brian Citizens for,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Website Montlhly Fee,NA
2/17/22,NationBuilder - Stripe,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,159,Albert  Brian Citizens for,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
9/3/21,ActBlue  LLC,366 Summer Street  Somerville  Massachusetts 02144,Business/Group/Organization,91.5,Taylor  Kym Friends for,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
11/8/21,Metropolitan Washington Council/AFL CIO,815 16th Street  N.W.  Washington  District Of Columbia 20006-4101,Business/Group/Organization,250,Taylor  Kym Friends for,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA,NA
4/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/7/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,80,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/8/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/24/21,Vista Print,275 Wyman Street  Waltham  Massachusetts 02451,Business/Group/Organization,283.03,Harrison  Ingrid S. Friends of,Media,Graphic Design,NA,Debit Card,NA,Electoral,NA,NA
11/3/21,Printing Specialist,9015 Junction Drive  Suite 5  Annapolis Junction  Maryland 20701,Business/Group/Organization,397.5,Harrison  Ingrid S. Friends of,Media,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/3/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
6/2/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
7/2/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
8/2/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
9/1/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
10/1/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
11/1/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
12/2/21,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
1/3/22,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
3/15/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/28/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/29/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/30/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/31/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/1/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,20,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/3/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/31/21,Campaign Partners  Inc.,640 John Carlyle Street  Suite 403  Alexandria  Virginia 22314,Business/Group/Organization,59.4,Thompson  J. (James) Howard Citizens for,Media,Online Advertising,NA,Debit Card,NA,Electoral,Maintenance fee for maintaining online account.,NA
4/9/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/11/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/12/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/12/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/13/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/14/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/18/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/18/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/20/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/25/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/25/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/25/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/10/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/11/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/14/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,750,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/25/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/14/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/17/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/24/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/28/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/3/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/12/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/12/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,100,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/18/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/22/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/29/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/2/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/6/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/9/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/12/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/18/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/24/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/31/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/2/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/6/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/7/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/8/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/10/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/11/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/12/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/16/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/17/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/20/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/22/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/27/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/29/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/30/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/1/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,500,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/5/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/8/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/11/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/13/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/15/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/16/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/18/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/22/21,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
