Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
LR142862,"Alston, Bryan ","State Circle Strategies, LLC","Compassionate Herbal Alternatives, Inc.",01/14/18-10/31/18
LR143277,"Alston, Bryan ","State Circle Strategies, LLC","Alsco, Inc.",02/23/18-10/31/18
LR143278,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO,02/23/18-10/31/18
LR143276,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health Systems,02/23/18-10/31/18
LR142335,"Altema, Irnande ",Mental Health Association of Maryland,Mental Health Association of Maryland,11/27/17-10/31/18
LR142492,American Council of Engineering Companies/Maryland,American Council of Engineering Companies/Maryland ,American Council of Engineering Companies/Maryland,12/12/17-10/31/18
LR143262,"Amster, Molly ",Jews United for Justice,Jews United for Justice,02/15/18-10/31/18
LR142329,"Andrews, Erin ","FAIR Fund, Inc.","FAIR Fund, Inc.",11/23/17-10/31/18
LR143421,"Andryszak, John A.", Law Office of John A Andryszak,"Sea Hunter Therapeutics, LLC",04/20/18-10/31/18
LR142168,"Andryszak, John A.", Law Office of John A Andryszak,Samaritan House ,11/01/17-10/31/18
LR142092,"Andryszak, John A.", Law Office of John A Andryszak,"CPV Marland, LLC",11/01/17-10/31/18
LR142121,"Andryszak, John A.", Law Office of John A Andryszak,"American International Group, Inc.",11/01/17-10/31/18
LR142091,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Son, A Division of Federal Insurance Company (formerly ACE American Ins. Co.)",11/01/17-10/31/18
LR142120,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc. and subsiduaries",11/01/17-10/31/18
LR142365,"Antoine, Joanne ",Common Cause Maryland,Common Cause Maryland,11/29/17-04/30/18
LR141964,"Appel, Erin ","Capitol Strategies, LLC",Anne Arundel Medical Center,11/01/17-10/31/18
LR141965,"Appel, Erin ","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/17-10/31/18
LR141968,"Appel, Erin ","Capitol Strategies, LLC",Bombardier Mass Transit Corporation,11/01/17-10/31/18
LR141969,"Appel, Erin ","Capitol Strategies, LLC",Centurion ,11/01/17-10/31/18
LR141970,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/17-10/31/18
LR141976,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/17-10/31/18
LR141992,"Appel, Erin ","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/17-10/31/18
LR141971,"Appel, Erin ","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/17-10/31/18
LR141972,"Appel, Erin ","Capitol Strategies, LLC","DCI Group AZ, LLC / Verizon",11/01/17-10/31/18
LR141977,"Appel, Erin ","Capitol Strategies, LLC",Gannett Fleming,11/01/17-10/31/18
LR141983,"Appel, Erin ","Capitol Strategies, LLC","MHM Correctional Services, Inc.",11/01/17-10/31/18
LR141986,"Appel, Erin ","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/17-10/31/18
LR141987,"Appel, Erin ","Capitol Strategies, LLC",Navient,11/01/17-10/31/18
LR141966,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc.",11/01/17-10/31/18
LR141967,"Appel, Erin ","Capitol Strategies, LLC",Bard Early College,11/01/17-10/31/18
LR141973,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/17-10/31/18
LR141975,"Appel, Erin ","Capitol Strategies, LLC","Erickson Living Management, LLC",11/01/17-10/31/18
LR141978,"Appel, Erin ","Capitol Strategies, LLC",International Council of Shopping Centers ,11/01/17-10/31/18
LR141981,"Appel, Erin ","Capitol Strategies, LLC",Maryland School Bus Contractors Assoc.,11/01/17-10/31/18
LR141982,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/17-10/31/18
LR141989,"Appel, Erin ","Capitol Strategies, LLC",Spectra Energy,11/01/17-10/31/18
LR142982,"Appel, Erin ","Capitol Strategies, LLC",Educational Testing Service (ETS),01/18/18-10/31/18
LR143490,"Appel, Erin ","Capitol Strategies, LLC",Slice Wireless Solutions,05/22/18-10/31/18
LR141963,"Appel, Erin ","Capitol Strategies, LLC",American Express Company,11/01/17-10/31/18
LR141974,"Appel, Erin ","Capitol Strategies, LLC",Delta Dental of Pennsylvania,11/01/17-10/31/18
LR141979,"Appel, Erin ","Capitol Strategies, LLC","Lyft, Inc. ",11/01/17-10/31/18
LR141980,"Appel, Erin ","Capitol Strategies, LLC","M. Luis Construction Co., Inc. ",11/01/17-10/31/18
LR141985,"Appel, Erin ","Capitol Strategies, LLC",Stratton-Carpenter & Associates / Media Rights Capital,11/01/17-10/31/18
LR141988,"Appel, Erin ","Capitol Strategies, LLC",Riverside Health,11/01/17-10/31/18
LR141990,"Appel, Erin ","Capitol Strategies, LLC",Tradepoint Atlantic,11/01/17-10/31/18
LR141991,"Appel, Erin ","Capitol Strategies, LLC",Veritas HHS,11/01/17-10/31/18
LR141984,"Appel, Erin ","Capitol Strategies, LLC","Media Rights Capital, c.o. Brownstein Hyatt Farber Schreck, LLP",11/01/17-10/31/18
LR141993,"Appel, Erin ","Capitol Strategies, LLC",Washington Gas,11/01/17-10/31/18
LR142755,"Appling, Mary Anne","Funk & Bolton, P.A.","League of Life & Health Insurers of Maryland, Inc.",01/09/18-10/31/18
LR143390,"Ashworth, William  ",Alibaba Group,Alibaba Group,03/26/18-10/31/18
LR141767,"Askew, Joseph L.",Verizon,Verizon Communications,11/02/17-10/31/18
LR143344,"Atlas, Bob ",Maryland Hospital Association,Maryland Hospital Association,03/01/18-10/31/18
LR141764,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Distillers Guild,11/01/17-10/31/18
LR142004,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Horse Council,11/22/17-03/01/18
LR141763,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Wineries Association,11/01/17-10/31/18
LR141755,"Atticks, Kevin ","Grow & Fortify, LLC",Brewers Association of Maryland,11/01/17-10/31/18
LR142736,"Averella, Ragina Cooper ",AAA Mid-Atlantic,"AAA Mid-Atlantic, Inc.",01/08/18-10/31/18
LR143537,"Backley, Mary C.",Maryland Dental Action Coalition,Maryland Dental Action Coalition,11/01/17-10/31/18
LR141529,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",War Horse,11/01/17-10/31/18
LR141556,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Gordian Group, The",11/01/17-10/31/18
LR141570,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Discovery Communications, Inc.",11/01/17-10/31/18
LR141907,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Turo, Inc.",11/03/17-10/31/18
LR142389,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Clear Ballot Group, Inc.",11/29/17-10/31/18
LR141507,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",AIMM (Association of Independent Midwives of Maryland),11/01/17-10/31/18
LR141518,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Beltway Fine Wine & Spirits and Corridor Fine Wines,11/01/17-10/31/18
LR143244,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Maryland Restaurant Coalition,02/12/18-10/31/18
LR141522,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Family Tree, The ",11/01/17-10/31/18
LR141523,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Genentech Inc., a Member of the Roche Group",11/01/17-10/31/18
LR141561,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Greater Baltimore Committee,11/01/17-10/31/18
LR141567,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",McDonald's Corporation,11/01/17-10/31/18
LR141568,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Jewish Community Relations Council of Greater Washington,11/01/17-10/31/18
LR141503,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Maryland Families for Safe Birth,11/01/17-10/31/18
LR141551,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Verizon Communications,11/01/17-10/31/18
LR141559,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Maryland Multi-Housing Association,11/01/17-10/31/18
LR141563,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","University of Maryland Medical System Health Plans, Inc.",11/01/17-10/31/18
LR142392,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Baltimore Industrial Group,11/29/17-10/31/18
LR142577,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Notarize, Inc.",12/19/17-10/31/18
LR142578,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",National Automatic Merchandising Association (NAMA),12/19/17-10/31/18
LR143161,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Maryland Chiropractic Association,02/06/18-10/31/18
LR141517,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Baltimore Gas and Electric Company,11/01/17-10/31/18
LR142844,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Joseph Smith & Sons, Inc.",01/12/18-10/31/18
LR143002,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Delmarva Poultry Industry, Inc.",01/22/18-10/31/18
LR143474,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Cerner Corporation,05/11/18-10/31/18
LR141550,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",National Multiple Sclerosis Society,11/01/17-10/31/18
LR141557,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Maryland DC Vending Association, Inc. ",11/01/17-10/31/18
LR143455,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Boring Company, The ",05/11/18-05/11/18
LR141524,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Harris Jones & Malone, LLC",11/01/17-10/31/18
LR141552,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Beacon Health Options,11/01/17-10/31/18
LR141553,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Maryland Psychiatric Society,11/01/17-10/31/18
LR141562,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Associated Builders & Contractors ,11/01/17-10/31/18
LR141564,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","HMR of Maryland, LLC",11/01/17-10/31/18
LR141572,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Drybar Holdings, LLC",11/01/17-04/30/18
LR142525,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",Maryland Medical Dispensary Association,12/14/17-10/31/18
LR141516,"Bagwell, Ashlie ","Harris Jones & Malone, LLC",AECOM,11/01/17-10/31/18
LR141519,"Bagwell, Ashlie ","Harris Jones & Malone, LLC","Benevis, LLC",11/01/17-10/31/18
LR143046,"Ballentine, Jr., Thomas  M","National Association of Industrial and Office Properties, Maryland",National Association of Industrial & Office Properties (NAIOP),01/23/18-10/31/18
LR142012,"Banach, Elizabeth McDaniel",Marylanders to Prevent Gun Violence,Marylanders to Prevent Gun Violence,11/01/17-09/30/18
LR141709,"Barnes, Ron ",Google Inc. and its Affiliates ,Google Inc. and its Affiliates,11/01/17-10/31/18
LR142837,"Bauer, Danielle ","Thompson Ag Consulting, LLC",Maryland Grain Producers Association,01/12/18-10/31/18
LR139791,"Behlke, Robert P.","Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc",11/01/17-10/31/18
LR141305,"Bell, Kate M.",Marijuana Policy Project,Marijuana Policy Project,11/01/17-10/31/18
LR142851,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Alternative Medicine Integration Group,01/11/18-10/31/18
LR142854,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Encore Capital Group,01/11/18-10/31/18
LR143322,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Kaiser Permanente,03/08/18-10/31/18
LR142048,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",American Wood Council,11/01/17-10/31/18
LR142952,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","Bellamy Genn Group, LLC",01/15/18-10/31/18
LR142680,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",MD & DC Credit Union Association ,12/30/17-10/31/18
LR142853,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Maryland Legal Services Corporation,01/11/18-10/31/18
LR142856,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","Dream Management, Inc.",01/11/18-10/31/18
LR142938,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","Cybersecurity Association of Maryland , Inc.",01/16/18-10/31/18
LR142940,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","Feld Entertainment, Inc.",01/16/18-10/31/18
LR143195,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Telligen,02/09/18-10/31/18
LR143951,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Navarro & Wright,09/21/18-10/31/18
LR142852,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Maryland Legal Aid,01/11/18-10/31/18
LR142855,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Open Society Policy Center,01/11/18-10/31/18
LR142939,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","American College of Cardiology, Maryland Chapter",01/16/18-10/31/18
LR142941,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","Maryland Plumbing, Heating & Cooling Contractors, Inc.",01/16/18-10/31/18
LR142052,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Everytown for Gun Safety Action Fund,11/01/17-10/31/18
LR142677,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",American Forest & Paper Association,01/11/18-10/31/18
LR143407,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC","TicketNetwork, Inc.",04/04/18-10/31/18
LR142049,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Blind Industries and Services of Maryland,11/01/17-10/31/18
LR142678,"Bellamy, Lorenzo ","Bellamy Genn Group, LLC",Dart Container Corporation,12/30/17-10/31/18
LR140817,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","NIC USA, Inc.",11/01/17-09/12/18
LR141197,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Western MD Scenic Railroad (WMSR),11/09/17-09/12/18
LR143620,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Leota Professional Resources, LLC",07/05/18-09/12/18
LR139943,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Donate Life Maryland, Inc.",03/01/18-09/12/18
LR140042,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","GANTECH, Inc.",03/01/18-09/12/18
LR140071,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Health Facilities Association of Maryland,11/09/17-09/12/18
LR140205,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Intel Security (formerly McAfee),11/01/17-09/12/18
LR140711,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",National Cryptologic Museum Foundation Cyber Center for Education and Innovation - Home of the National Cryptologic Museum,03/01/18-09/12/18
LR140927,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Barry Glazer,11/01/17-09/12/18
LR141034,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Ripken Holdings, LLC",05/23/18-09/12/18
LR141171,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Teradata,11/01/17-09/12/18
LR140195,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Lockheed Martin Corporation,11/01/17-09/12/18
LR141602,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",EMOVIS,11/01/17-04/30/18
LR142218,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Darryl Shawgo & Jim Figlozzi,11/16/17-04/30/18
LR141164,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Telaforce, LLC",11/09/17-09/12/18
LR139899,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","DMS Development, LLC.",11/01/17-09/12/18
LR140212,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Maryland Alliance of YMCA's,11/01/17-09/12/18
LR143043,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Maryland Center for Legal Assistance,01/22/18-09/12/18
LR143919,"Bennett, Tyler ","Compass Government Relations Partners, LLC",Teradata,09/21/18-10/31/18
LR141082,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Science Applications International Corporation (SAIC),11/01/17-09/12/18
LR139772,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Aero Service Group,03/01/18-09/12/18
LR139775,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Allegany Museum, Inc.",11/09/17-09/12/18
LR139828,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Best Buddies International, Inc.",11/01/17-09/12/18
LR139855,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Children's Guild, Inc., The",11/01/17-09/12/18
LR140410,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Motorola Solutions,11/01/17-09/12/18
LR142598,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Avaya, Inc.",12/21/17-09/12/18
LR143118,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Small Biotechnology Business Coalition,01/31/18-04/30/18
LR141026,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Printing & Graphics Association MidAtlantic,11/01/17-09/12/18
LR141194,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.","Wawa, Inc.",11/01/17-09/12/18
LR141201,"Bennett, Tyler  W.","Alexander & Cleaver, P.A.",Workday,11/01/17-09/12/18
LR142740,"Bereano, Bruce C",Bruce Bereano,Chesapeake Bay Commercial Fishermen's Association ,01/02/18-10/31/18
LR143111,"Bereano, Bruce C",Bruce Bereano,Fears Nachawati Law Firm,01/26/18-10/31/18
LR143364,"Bereano, Bruce C",Bruce Bereano,TransLogistix,03/14/18-10/31/18
LR141606,"Bereano, Bruce C",Bruce Bereano,"Bayview Management, LLC",11/01/17-10/31/18
LR141610,"Bereano, Bruce C",Bruce Bereano,AIRMALL USA,11/01/17-10/31/18
LR141619,"Bereano, Bruce C",Bruce Bereano,"Expedia, Inc.",11/01/17-10/31/18
LR141634,"Bereano, Bruce C",Bruce Bereano,Medical Mutual Liability Insurance Society of Maryland (Medical Mutual),11/01/17-10/31/18
LR141641,"Bereano, Bruce C",Bruce Bereano,"MYTHICS, INC.",11/01/17-10/31/18
LR141642,"Bereano, Bruce C",Bruce Bereano,Town of Ocean City,11/01/17-10/31/18
LR141647,"Bereano, Bruce C",Bruce Bereano,SAGITEC,11/01/17-10/31/18
LR141653,"Bereano, Bruce C",Bruce Bereano,TCC Software Solutions,11/01/17-10/31/18
LR141660,"Bereano, Bruce C",Bruce Bereano,"WIN Family Services, Inc.",11/01/17-10/31/18
LR141877,"Bereano, Bruce C",Bruce Bereano,Brad Kline,11/01/17-10/31/18
LR142046,"Bereano, Bruce C",Bruce Bereano,"Woda Group, LLC., The",11/01/17-10/31/18
LR142283,"Bereano, Bruce C",Bruce Bereano,"Unit Owners to Preserve and Protect The Surf Village, Ocean City Maryland",11/15/17-10/31/18
LR142290,"Bereano, Bruce C",Bruce Bereano,"ABATE of Maryland, Inc.",11/16/17-10/31/18
LR142399,"Bereano, Bruce C",Bruce Bereano,Prince George's County NAACP,11/22/17-10/31/18
LR142452,"Bereano, Bruce C",Bruce Bereano,"East Baltimore Enterprise, Inc.",11/28/17-10/31/18
LR142475,"Bereano, Bruce C",Bruce Bereano,"DMI - Digital Management, Inc.",12/01/17-10/31/18
LR143110,"Bereano, Bruce C",Bruce Bereano,"Kane Law Group, The",01/26/18-10/31/18
LR143112,"Bereano, Bruce C",Bruce Bereano,Ferrer Poirot & Wansbrough,01/26/18-10/31/18
LR143394,"Bereano, Bruce C",Bruce Bereano,"Prime AE Group, Inc.",03/26/18-10/31/18
LR141637,"Bereano, Bruce C",Bruce Bereano,"Medical Management and Rehabilitation Services, Inc.",11/01/17-10/31/18
LR141639,"Bereano, Bruce C",Bruce Bereano,Maryland Society of Eye Physicians & Surgeons ,11/01/17-10/31/18
LR141644,"Bereano, Bruce C",Bruce Bereano,Pikesville Volunteer Fire Company,11/01/17-10/31/18
LR141875,"Bereano, Bruce C",Bruce Bereano,BP Realty,11/01/17-10/31/18
LR141879,"Bereano, Bruce C",Bruce Bereano,"One Call Concepts, Inc.",11/01/17-10/31/18
LR142400,"Bereano, Bruce C",Bruce Bereano,Global Consulting Services,11/22/17-10/31/18
LR141603,"Bereano, Bruce C",Bruce Bereano,Alliance for Construction Excellence,11/01/17-10/31/18
LR141609,"Bereano, Bruce C",Bruce Bereano,"AmeriNational Community Services, Inc.",11/01/17-10/31/18
LR141613,"Bereano, Bruce C",Bruce Bereano,City of Bowie,11/01/17-10/31/18
LR141616,"Bereano, Bruce C",Bruce Bereano,Cigna Health and Life Insurance Company,11/01/17-10/31/18
LR141626,"Bereano, Bruce C",Bruce Bereano,"LKQ/Keystone Automotive Industries, Inc.",11/01/17-10/31/18
LR141628,"Bereano, Bruce C",Bruce Bereano,Maryland Association of Tobacco and Candy Distributors,11/01/17-10/31/18
LR141630,"Bereano, Bruce C",Bruce Bereano,"Maryland Same Day Messenger Courier Association, Inc. ",11/01/17-10/31/18
LR141631,"Bereano, Bruce C",Bruce Bereano,Maryland Rangers Association,11/01/17-10/31/18
LR141633,"Bereano, Bruce C",Bruce Bereano,Maryland Underground Facilities Damage Prevention Authority,11/01/17-10/31/18
LR141652,"Bereano, Bruce C",Bruce Bereano,Siena Corporation,11/01/17-10/31/18
LR142535,"Bereano, Bruce C",Bruce Bereano,"Anne Arundel County Fair, Inc.",12/08/17-10/31/18
LR142839,"Bereano, Bruce C",Bruce Bereano,"Baltimore Streetcar Museum, The",01/09/18-10/31/18
LR143260,"Bereano, Bruce C",Bruce Bereano,Hope House,02/09/18-10/31/18
LR143402,"Bereano, Bruce C",Bruce Bereano,"Hapa, Inc dba Jourve",03/26/18-10/31/18
LR141607,"Bereano, Bruce C",Bruce Bereano,Associated Utility Contractors,11/01/17-10/31/18
LR141608,"Bereano, Bruce C",Bruce Bereano,ANGARAI International,11/01/17-10/31/18
LR141615,"Bereano, Bruce C",Bruce Bereano,Carr Properties Partnership,11/01/17-10/31/18
LR141618,"Bereano, Bruce C",Bruce Bereano,DCA Imaging Systems,11/01/17-10/31/18
LR141649,"Bereano, Bruce C",Bruce Bereano,Sheltair Aviation,11/01/17-10/31/18
LR142079,"Bereano, Bruce C",Bruce Bereano,Garcia Laboratories,11/06/17-10/31/18
LR142398,"Bereano, Bruce C",Bruce Bereano,Patapsco Bingo,11/22/17-10/31/18
LR142476,"Bereano, Bruce C",Bruce Bereano,Washington County Commissioners,12/01/17-10/31/18
LR142579,"Bereano, Bruce C",Bruce Bereano,"ForwardExtracts, LLC",12/13/17-10/31/18
LR142838,"Bereano, Bruce C",Bruce Bereano,City of Annapolis,01/04/18-10/31/18
LR143261,"Bereano, Bruce C",Bruce Bereano,Ashley Addiction Treatment,02/09/18-10/31/18
