Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Reporting Period,Lobbyist Compensation,Staff Expenses,Office Expenses,Research Expenses,Communications,Witness Fees or Expenses,Other Operating Expenses,Sponsored Event Expenses,Tickets to Events Expenses,Meal & Bev at Meetings,Meal & Bev for Speaking,Meal & Bev for Officials,Gift expenses,Total Expenses
A020815,"Andryszak, John", Law Office of John A Andryszak,GSK Consumer Healthcare,02/23/22-04/30/22,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A013974,"Andryszak, John", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",05/01/22-10/31/22,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,000.00"
A013980,"Andryszak, John", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",05/01/22-10/31/22,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,000.00"
A019445,"Antoine, Joanne",Common Cause Maryland,Common Cause Maryland,12/01/21-04/30/22,"$10,018.75",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,018.75"
A019446,"Antoine, Joanne",Common Cause Maryland,Common Cause Maryland,05/01/22-10/31/22,"$3,965.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,965.00"
A015936,"Appel, Erin","Capitol Strategies, LLC",Maxim Healthcare Services c/o Redwood Capital,11/01/21-01/17/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015930,"Appel, Erin","Capitol Strategies, LLC","Allegis, Redwood, Maxim Public Affairs, LLC",11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015958,"Appel, Erin","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/21-04/30/22,"$2,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,103.00"
A015962,"Appel, Erin","Capitol Strategies, LLC","Aramark Correctional Services, LLC",11/01/21-04/30/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015954,"Appel, Erin","Capitol Strategies, LLC",Verizon Communications,11/01/21-04/30/22,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A015781,"Appel, Erin","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,05/01/22-10/31/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015899,"Appel, Erin","Capitol Strategies, LLC",Exelon Corporation,05/01/22-10/31/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015881,"Appel, Erin","Capitol Strategies, LLC",W.L. Gore & Associates,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015955,"Appel, Erin","Capitol Strategies, LLC",Verizon Communications,05/01/22-10/31/22,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A020929,"Appel, Erin","Capitol Strategies, LLC",Abner's,05/01/22-10/31/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015078,"Appel, Erin","Capitol Strategies, LLC","MTM, Inc",05/01/22-10/31/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A021016,"Appel, Erin","Capitol Strategies, LLC",TikTok Inc. US,05/01/22-10/31/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015740,"Appel, Erin","Capitol Strategies, LLC",Erickson Living Management c/o Redwood Capital Investments,11/01/21-01/17/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015786,"Appel, Erin","Capitol Strategies, LLC",NorthBay Education c/o Redwood Capital,11/01/21-01/17/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015882,"Appel, Erin","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/21-04/30/22,"$1,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,103.00"
A015884,"Appel, Erin","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/21-04/30/22,"$2,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,103.00"
A015900,"Appel, Erin","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015754,"Appel, Erin","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015756,"Appel, Erin","Capitol Strategies, LLC",Veritas HHS,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015077,"Appel, Erin","Capitol Strategies, LLC","MTM, Inc",11/01/21-04/30/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015940,"Appel, Erin","Capitol Strategies, LLC",Educational Testing Service (ETS),11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020928,"Appel, Erin","Capitol Strategies, LLC",Abner's,03/14/22-04/30/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015951,"Appel, Erin","Capitol Strategies, LLC",MGM Resorts International,05/01/22-05/15/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015939,"Appel, Erin","Capitol Strategies, LLC",Maryland School Bus Contractors Association,05/01/22-10/31/22,"$8,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,000.00"
A015883,"Appel, Erin","Capitol Strategies, LLC",Association for Accessible Medicines,05/01/22-10/31/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A018880,"Appel, Erin","Capitol Strategies, LLC","Residences at Benning Road LLC, The",05/01/22-10/31/22,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A015941,"Appel, Erin","Capitol Strategies, LLC",Educational Testing Service (ETS),05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015887,"Appel, Erin","Capitol Strategies, LLC",Bard Early College,05/01/22-10/31/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015893,"Appel, Erin","Capitol Strategies, LLC",Centurion,05/01/22-10/31/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015969,"Appel, Erin","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",05/01/22-10/31/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015961,"Appel, Erin","Capitol Strategies, LLC",Covanta Energy LLC,05/01/22-10/31/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015728,"Appel, Erin","Capitol Strategies, LLC",Tradepoint Atlantic c/o Redwood Capital,11/01/21-01/17/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015942,"Appel, Erin","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/21-04/30/22,"$20,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,103.00"
A015952,"Appel, Erin","Capitol Strategies, LLC",Brightview Senior Living,11/01/21-04/30/22,$103.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$103.00
A015886,"Appel, Erin","Capitol Strategies, LLC",Bard Early College,11/01/21-04/30/22,"$7,353.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,353.00"
A015894,"Appel, Erin","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015968,"Appel, Erin","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/21-04/30/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015782,"Appel, Erin","Capitol Strategies, LLC",Vanguard Retail Property Development,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015960,"Appel, Erin","Capitol Strategies, LLC",Covanta Energy LLC,11/01/21-04/30/22,"$1,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,103.00"
A015932,"Appel, Erin","Capitol Strategies, LLC",Knowledge Services,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015944,"Appel, Erin","Capitol Strategies, LLC",Luminis Health,11/01/21-04/30/22,"$1,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,103.00"
A015880,"Appel, Erin","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015950,"Appel, Erin","Capitol Strategies, LLC",MGM Resorts International,11/01/21-04/30/22,"$1,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,103.00"
A015757,"Appel, Erin","Capitol Strategies, LLC",Veritas HHS,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015933,"Appel, Erin","Capitol Strategies, LLC",Knowledge Services,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015780,"Appel, Erin","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/21-04/30/22,"$2,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,103.00"
A018879,"Appel, Erin","Capitol Strategies, LLC","Residences at Benning Road LLC, The",11/22/21-04/30/22,"$15,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,103.00"
A015966,"Appel, Erin","Capitol Strategies, LLC","Al Fakher Distribution USA, Inc",11/01/21-04/30/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A015948,"Appel, Erin","Capitol Strategies, LLC",Gannett Fleming,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A021015,"Appel, Erin","Capitol Strategies, LLC",TikTok Inc. US,03/28/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015974,"Appel, Erin","Capitol Strategies, LLC",Accenture LLP,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015892,"Appel, Erin","Capitol Strategies, LLC",Centurion,11/01/21-04/30/22,"$1,103.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,103.00"
A015959,"Appel, Erin","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",05/01/22-10/31/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
