Form ID,Lobbyist/Registrant,clean_lobbyist_registrant,Organization/Firm,clean_organization_firm,Employer,clean_employer,Registration Period
R009789,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,TC Energy,TC Energy,11/01/21-10/31/22
R014143,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/22-10/31/23
R005086,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,TC Energy,TC Energy,11/01/20-10/31/21
R000691,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,TC Energy,TC Energy,11/01/19-10/31/20
R011294,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",01/03/22-10/31/22
R011295,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",01/03/22-10/31/22
R014145,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/22-10/31/23
R014043,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R006925,"Borowski, Mark ","Borowski, Mark ",BP America,BP America,BP America,BP America,12/17/20-10/31/21
R004073,"Borowski, Mark ","Borowski, Mark ",BP America,BP America,BP America,BP America,08/11/20-10/31/20
R008229,"Bradley, Erin ","Bradley, Erin ",AOBA,AOBA,AOBA,AOBA,11/01/21-08/05/22
R004358,"Bradley, Erin ","Bradley, Erin ",AOBA,AOBA,AOBA,AOBA,11/01/20-10/31/21
R009630,"Braue, Tim E.","Braue, Tim E.",Old Line Government Affairs LLC,Old Line Government Affairs LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/21-12/28/21
R009655,"Braue, Tim E.","Braue, Tim E.",Old Line Government Affairs LLC,Old Line Government Affairs LLC,"NRG Energy, Inc.","NRG Energy, Inc.",11/01/21-10/31/22
R001873,"Braue, Tim E.","Braue, Tim E.","Old Line Government Affairs, LLC",Old Line Government Affairs LLC,"NRG Energy, Inc.","NRG Energy, Inc.",11/01/19-10/31/20
R001390,"Braue, Tim E.","Braue, Tim E.","Old Line Government Affairs, LLC",Old Line Government Affairs LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/19-10/31/20
R012047,"Bressani, Greg ","Bressani, Greg ","Tanko Streetlighting, Inc.","Tanko Streetlighting, Inc.","Tanko Streetlighting, Inc.","Tanko Streetlighting, Inc.",06/22/22-10/31/22
R014522,"Brock, Jen ","Brock, Jen ",High Street Strategies,High Street Strategies LLC,CI Renewables,CI Renewables,11/01/22-10/31/23
R012468,"Brock, Jen ","Brock, Jen ",High Street Strategies,High Street Strategies LLC,Advanced Energy Economy,Advanced Energy Economy,11/01/22-10/31/23
R014517,"Brock, Jen ","Brock, Jen ",High Street Strategies,High Street Strategies LLC,"US Wind, Inc.","US Wind, Inc.",11/01/22-10/31/23
R009976,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,Sierra Club,Sierra Club,11/01/21-10/31/22
R007862,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,CI Renewables,CI Renewables,07/08/21-10/31/21
R005245,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,Sierra Club,Sierra Club,11/01/20-10/31/21
R003206,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,"US Wind, Inc.","US Wind, Inc.",01/10/20-10/31/20
R009975,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,"US Wind, Inc.","US Wind, Inc.",11/01/21-10/31/22
R002983,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,Sierra Club,Sierra Club,12/09/19-10/31/20
R005252,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,"US Wind, Inc.","US Wind, Inc.",11/01/20-10/31/21
R011902,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,High Street Strategies,High Street Strategies,04/04/22-10/31/22
R009981,"Brock-Cancellieri, Jen ","Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies LLC,CI Renewables,CI Renewables,11/01/21-10/31/22
R002314,"Bryant, Eric L","Bryant, Eric L",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Dominion Energy,Dominion Energy,11/01/19-07/05/20
R002341,"Bryant, Eric L","Bryant, Eric L",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/19-07/05/20
R002348,"Bryant, Eric L","Bryant, Eric L",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Waste Management, Inc.","Waste Management, Inc.",11/01/19-07/05/20
R002343,"Bryant, Eric L","Bryant, Eric L",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/19-07/05/20
R002440,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,Exelon Corporation,Exelon Corporation,12/16/19-10/31/20
R008179,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",11/15/21-10/31/22
R004418,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",12/07/20-10/31/21
R004421,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/20-10/31/21
R000374,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",01/06/20-10/31/20
R000381,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/19-10/31/20
R008183,"Bryce, Joseph C","Bryce, Joseph C",Manis Canning & Associates,Manis Canning & Associates,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-10/31/22
R004092,"Butler, Brandon Scott","Butler, Brandon Scott","Greenwill Consulting Group, LLC","Greenwill Consulting Group, LLC",SonoAsh LLC,SonoAsh LLC,08/17/20-10/31/20
R007222,"Butler, Brandon Scott","Butler, Brandon Scott","Greenwill Consulting Group, LLC","Greenwill Consulting Group, LLC",Town of Williamsport,Town of Williamsport,01/13/21-04/30/21
R011693,"Butler, Brandon Scott","Butler, Brandon Scott","Pinnacle Strategies, LLC","Pinnacle Strategies, LLC",SonoAsh LLC,SonoAsh LLC,02/08/22-10/31/22
R007224,"Butler, Brandon Scott","Butler, Brandon Scott","Greenwill Consulting Group, LLC","Greenwill Consulting Group, LLC",SonoAsh LLC,SonoAsh LLC,01/13/21-10/31/21
R014487,"Butler, Brandon Scott","Butler, Brandon Scott","Pinnacle Strategies, LLC","Pinnacle Strategies, LLC",SonoAsh LLC,SonoAsh LLC,11/01/22-10/31/23
R002704,"Campbell, Lael ","Campbell, Lael ",N/A,N/A,Exelon Corporation,Exelon Corporation,11/20/19-10/31/20
R005380,"Campbell, Lael ","Campbell, Lael ",N/A,N/A,Exelon Corporation,Exelon Corporation,11/01/20-10/31/21
R008757,"Campbell, Lael ","Campbell, Lael ",Exelon Corporation,Exelon Corporation,"Constellation Energy Generation, LLC","Constellation Energy Generation, LLC",11/01/21-10/31/22
R004198,"Campion, Louis ","Campion, Louis ",Maryland Motor Truck Association,Maryland Motor Truck Association,Maryland Motor Truck Association,Maryland Motor Truck Association,11/01/20-10/31/21
R012347,"Carrington, J. Darrell ","Carrington, J. Darrell ","Carrington & Associates, LLC","Carrington & Associates, LLC",Chesapeake Physicians for Social Responsibility (CPSR),Chesapeake Physicians for Social Responsibility (CPSR),11/01/22-10/31/23
R012803,"Carrington, J. Darrell ","Carrington, J. Darrell ","Carrington & Associates, LLC","Carrington & Associates, LLC",B&B Partnership Initiative,B&B Partnership Initiative,11/01/22-10/31/23
R010814,"Carrington, J. Darrell ","Carrington, J. Darrell ",Carrington & Associates,"Carrington & Associates, LLC",Chesapeake Physicians for Social Responsibility (CPSR),Chesapeake Physicians for Social Responsibility (CPSR),11/11/21-10/31/22
R007946,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Ameresco,Ameresco,08/13/21-10/31/21
R009989,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",11/01/21-10/31/22
R014768,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Ameresco,Ameresco,11/01/22-10/31/23
R001145,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/19-10/31/20
R001147,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Exelon Corporation,Exelon Corporation,11/01/19-10/31/20
R005633,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/20-10/31/21
R005830,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Exelon Corporation,Exelon Corporation,11/01/20-10/31/21
R009772,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/21-10/31/22
R014830,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/22-10/31/23
R003044,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",01/01/20-10/31/20
R009777,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Exelon Corporation,Exelon Corporation,11/01/21-10/31/22
R001108,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Ameresco,Ameresco,11/01/19-10/31/20
R005838,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",11/01/20-10/31/21
R012024,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC",Ameresco,Ameresco,06/23/22-10/31/22
R014838,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",11/01/22-10/31/23
R014821,"Carroll, Jr., David H.","Carroll, Jr., David H.","Capitol Strategies, LLC","Capitol Strategies, LLC","Constellation Energy Generation, LLC","Constellation Energy Generation, LLC",11/01/22-10/31/23
R014038,"Castelli, William  A.","Castelli, William  A.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Colonial Pipeline Company,Colonial Pipeline Company,11/01/22-10/31/23
R014034,"Castelli, William  A.","Castelli, William  A.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R014220,"Castelli, William  A.","Castelli, William  A.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/22-10/31/23
R014223,"Castelli, William  A.","Castelli, William  A.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/22-10/31/23
R000202,"Cava, Eliza ","Cava, Eliza ",Audubon Naturalist Society,Audubon Naturalist Society,Audubon Naturalist Society of the Central Atlantic States,Audubon Naturalist Society of the Central Atlantic States,11/01/19-10/31/20
