Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R011397,"Bagwell, Ashlie ",Harris Jones & Malone,"Tesla, Inc.",01/11/22-06/30/22
R003212,"Ballentine, Jr., Thomas  M","National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",01/10/20-10/31/20
R001273,"Battisti, Sarah ",NRG Energy,"NRG Energy, Inc.",11/01/19-10/31/20
R004323,"Battisti, Sarah ",NRG Energy,"NRG Energy, Inc.",11/01/20-10/31/21
R010830,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Williams Companies, Inc., The",11/09/21-10/31/22
R004165,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,American Forest & Paper Association,01/22/21-10/31/21
R011695,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,American Forest & Paper Association,02/09/22-10/31/22
R014564,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,American Forest & Paper Association,11/01/22-10/31/23
R014576,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Dream Management, Inc.",11/01/22-10/31/23
R007397,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Williams Companies, Inc., The",01/29/21-10/31/21
R014630,"Bellamy, Lorenzo ",Bellamy Genn Group LLC,"Williams Companies, Inc., The",11/01/22-10/31/23
R003691,"Bennett, Tyler ","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",02/26/20-10/31/20
R003716,"Bennett, Tyler ","Compass Government Relations Partners, LLC",Utility Scale Solar Energy Coalition,02/28/20-10/31/20
R006535,"Bennett, Tyler ","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.",11/13/20-10/31/21
R014450,"Bennett, Tyler ","Compass Government Relations Partners, LLC","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)",11/01/22-10/31/23
R010376,"Bennett, Tyler ","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.",11/01/21-10/31/22
R001469,"Benoit, Jill ","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)",11/01/19-10/31/20
R008605,"Benoit, Jill ","Holcim (US) Inc., Aggregate Industries Mgmt., Inc. and Firestone Bldg. Products (a/k/a LafargeHolcim USA)",Holcim Participations (US) Inc.,11/01/21-10/31/22
R005373,"Benoit, Jill ","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US) Inc., Aggregate Industries Mgmt., Inc. and Firestone Bldg. Products (a/k/a LafargeHolcim USA)",11/01/20-10/31/21
R012354,"Benoit, Jill ",Holcim Participations (US) Inc.,Holcim Participations (US) Inc.,11/01/22-10/31/23
R011278,"Bereano, Bruce C",Office of Bruce C. Bereano,Washington Gas,01/04/22-10/31/22
R007022,"Bereano, Bruce C",Office of Bruce C. Bereano,Washington Gas,01/04/21-10/31/21
R001646,"Bereano, Bruce C",Office of Bruce C. Bereano,Washington Gas,11/01/19-10/31/20
R006413,"Bereano, Bruce C",Office of Bruce C. Bereano,Vicinity Energy,11/01/20-10/31/21
R005247,"Beugelmans, David W.",Gordon Feinblatt LLC,Maryland Energy Group,11/01/20-10/31/21
R003711,"Beugelmans, David W.",Gordon Feinblatt LLC,Open Road Renewables,02/25/20-10/31/20
R007627,"Beugelmans, David W.",Gordon Feinblatt LLC,Calpine Energy Solutions LLC,03/15/21-10/31/21
R005230,"Beugelmans, David W.",Gordon Feinblatt LLC,Open Road Renewables,11/01/20-10/31/21
R001544,"Beugelmans, David W.",Gordon Feinblatt LLC,Maryland Energy Group,11/01/19-10/31/20
R001565,"Beugelmans, David W.",Gordon Feinblatt LLC,Calpine Energy Solutions LLC,11/01/19-10/31/20
R007180,"Binetti, Rick ","Laborers' International Union of North America, Baltimore/Washington Construction & Public Employees Laborers' District Council ","Laborers' International Union of North America, Baltimore/Washington Construction & Public Employees Laborers' District Council",01/14/21-04/15/21
R013341,"Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/22-10/31/23
R008616,"Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/21-10/31/22
R002710,"Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/17/19-10/31/20
R005351,"Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/20-10/31/21
R009300,"Blaylock, Frazier ",Covanta Energy LLC,Covanta Energy LLC,11/01/21-10/31/22
R013553,"Blaylock, Frazier ",Covanta Energy LLC,Covanta Energy LLC,11/01/22-10/31/23
R001487,"Blaylock, Frazier ",N/A,Covanta Energy LLC,11/01/19-10/31/20
R005861,"Blaylock, Frazier ",N/A,Covanta Energy LLC,11/01/20-10/31/21
R009782,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/21-10/31/22
R009789,"Bohle, Matt ",Rifkin Weiner Livingston LLC,TC Energy,11/01/21-10/31/22
R014143,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/22-10/31/23
R005086,"Bohle, Matt ",Rifkin Weiner Livingston LLC,TC Energy,11/01/20-10/31/21
R000691,"Bohle, Matt ",Rifkin Weiner Livingston LLC,TC Energy,11/01/19-10/31/20
R011294,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",01/03/22-10/31/22
R011295,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",01/03/22-10/31/22
R014145,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/22-10/31/23
R014043,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R006925,"Borowski, Mark ",BP America,BP America,12/17/20-10/31/21
R004073,"Borowski, Mark ",BP America,BP America,08/11/20-10/31/20
R008229,"Bradley, Erin ",AOBA,AOBA,11/01/21-08/05/22
R004358,"Bradley, Erin ",AOBA,AOBA,11/01/20-10/31/21
R009630,"Braue, Tim E.",Old Line Government Affairs LLC,Brookfield Power US Asset Management LLC,11/01/21-12/28/21
R009655,"Braue, Tim E.",Old Line Government Affairs LLC,"NRG Energy, Inc.",11/01/21-10/31/22
R001873,"Braue, Tim E.","Old Line Government Affairs, LLC","NRG Energy, Inc.",11/01/19-10/31/20
R001390,"Braue, Tim E.","Old Line Government Affairs, LLC",Brookfield Power US Asset Management LLC,11/01/19-10/31/20
R012047,"Bressani, Greg ","Tanko Streetlighting, Inc.","Tanko Streetlighting, Inc.",06/22/22-10/31/22
R014522,"Brock, Jen ",High Street Strategies,CI Renewables,11/01/22-10/31/23
R012468,"Brock, Jen ",High Street Strategies,Advanced Energy Economy,11/01/22-10/31/23
R014517,"Brock, Jen ",High Street Strategies,"US Wind, Inc.",11/01/22-10/31/23
R009976,"Brock-Cancellieri, Jen ",High Street Strategies,Sierra Club,11/01/21-10/31/22
R007862,"Brock-Cancellieri, Jen ",High Street Strategies,CI Renewables,07/08/21-10/31/21
R005245,"Brock-Cancellieri, Jen ",High Street Strategies,Sierra Club,11/01/20-10/31/21
R003206,"Brock-Cancellieri, Jen ",High Street Strategies,"US Wind, Inc.",01/10/20-10/31/20
R009975,"Brock-Cancellieri, Jen ",High Street Strategies,"US Wind, Inc.",11/01/21-10/31/22
R002983,"Brock-Cancellieri, Jen ",High Street Strategies,Sierra Club,12/09/19-10/31/20
R005252,"Brock-Cancellieri, Jen ",High Street Strategies,"US Wind, Inc.",11/01/20-10/31/21
R011902,"Brock-Cancellieri, Jen ",High Street Strategies,High Street Strategies,04/04/22-10/31/22
R009981,"Brock-Cancellieri, Jen ",High Street Strategies,CI Renewables,11/01/21-10/31/22
R002314,"Bryant, Eric L",Rifkin Weiner Livingston LLC,Dominion Energy,11/01/19-07/05/20
R002341,"Bryant, Eric L",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/19-07/05/20
R002348,"Bryant, Eric L",Rifkin Weiner Livingston LLC,"Waste Management, Inc.",11/01/19-07/05/20
R002343,"Bryant, Eric L",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/19-07/05/20
R002440,"Bryce, Joseph C",Manis Canning & Associates,Exelon Corporation,12/16/19-10/31/20
R008179,"Bryce, Joseph C",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",11/15/21-10/31/22
R004418,"Bryce, Joseph C",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",12/07/20-10/31/21
R004421,"Bryce, Joseph C",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/20-10/31/21
R000374,"Bryce, Joseph C",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",01/06/20-10/31/20
R000381,"Bryce, Joseph C",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/19-10/31/20
R008183,"Bryce, Joseph C",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/21-10/31/22
R004092,"Butler, Brandon Scott","Greenwill Consulting Group, LLC",SonoAsh LLC,08/17/20-10/31/20
R007222,"Butler, Brandon Scott","Greenwill Consulting Group, LLC",Town of Williamsport,01/13/21-04/30/21
R011693,"Butler, Brandon Scott","Pinnacle Strategies, LLC",SonoAsh LLC,02/08/22-10/31/22
R007224,"Butler, Brandon Scott","Greenwill Consulting Group, LLC",SonoAsh LLC,01/13/21-10/31/21
R014487,"Butler, Brandon Scott","Pinnacle Strategies, LLC",SonoAsh LLC,11/01/22-10/31/23
R002704,"Campbell, Lael ",N/A,Exelon Corporation,11/20/19-10/31/20
R005380,"Campbell, Lael ",N/A,Exelon Corporation,11/01/20-10/31/21
R008757,"Campbell, Lael ",Exelon Corporation,"Constellation Energy Generation, LLC",11/01/21-10/31/22
R004198,"Campion, Louis ",Maryland Motor Truck Association,Maryland Motor Truck Association,11/01/20-10/31/21
R012347,"Carrington, J. Darrell ","Carrington & Associates, LLC",Chesapeake Physicians for Social Responsibility (CPSR),11/01/22-10/31/23
R012803,"Carrington, J. Darrell ","Carrington & Associates, LLC",B&B Partnership Initiative,11/01/22-10/31/23
R010814,"Carrington, J. Darrell ",Carrington & Associates,Chesapeake Physicians for Social Responsibility (CPSR),11/11/21-10/31/22
R007946,"Carroll, Jr., David H.","Capitol Strategies, LLC",Ameresco,08/13/21-10/31/21
R009989,"Carroll, Jr., David H.","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/21-10/31/22
R014768,"Carroll, Jr., David H.","Capitol Strategies, LLC",Ameresco,11/01/22-10/31/23
R001145,"Carroll, Jr., David H.","Capitol Strategies, LLC",Covanta Energy LLC,11/01/19-10/31/20
R001147,"Carroll, Jr., David H.","Capitol Strategies, LLC",Exelon Corporation,11/01/19-10/31/20
R005633,"Carroll, Jr., David H.","Capitol Strategies, LLC",Covanta Energy LLC,11/01/20-10/31/21
R005830,"Carroll, Jr., David H.","Capitol Strategies, LLC",Exelon Corporation,11/01/20-10/31/21
R009772,"Carroll, Jr., David H.","Capitol Strategies, LLC",Covanta Energy LLC,11/01/21-10/31/22
R014830,"Carroll, Jr., David H.","Capitol Strategies, LLC",Covanta Energy LLC,11/01/22-10/31/23
R003044,"Carroll, Jr., David H.","Capitol Strategies, LLC","Maryland Geothermal Association, The",01/01/20-10/31/20
R009777,"Carroll, Jr., David H.","Capitol Strategies, LLC",Exelon Corporation,11/01/21-10/31/22
R001108,"Carroll, Jr., David H.","Capitol Strategies, LLC",Ameresco,11/01/19-10/31/20
R005838,"Carroll, Jr., David H.","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/20-10/31/21
R012024,"Carroll, Jr., David H.","Capitol Strategies, LLC",Ameresco,06/23/22-10/31/22
R014838,"Carroll, Jr., David H.","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/22-10/31/23
R014821,"Carroll, Jr., David H.","Capitol Strategies, LLC","Constellation Energy Generation, LLC",11/01/22-10/31/23
R014038,"Castelli, William  A.",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/22-10/31/23
R014034,"Castelli, William  A.",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R014220,"Castelli, William  A.",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/22-10/31/23
R014223,"Castelli, William  A.",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/22-10/31/23
R000202,"Cava, Eliza ",Audubon Naturalist Society,Audubon Naturalist Society of the Central Atlantic States,11/01/19-10/31/20
R014482,CCAN Action Fund,"Chartrand, Kevin ",CCAN Action Fund,11/01/22-10/31/23
R006520,"Celentano, Matthew ","Funk & Bolton, P.A.",City of Bowie,11/01/20-10/31/21
R012116,"Chapman, Shaun ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,08/22/22-10/31/22
R014341,"Chapman, Shaun ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/22-10/31/23
R008749,"Chason, Todd  R",Gordon Feinblatt LLC,Maryland Energy Group,11/01/21-10/31/22
R001466,"Chason, Todd  R",Gordon Feinblatt LLC,Calpine Energy Solutions LLC,11/01/19-10/31/20
R001549,"Chason, Todd  R",Gordon Feinblatt LLC,Maryland Energy Group,11/01/19-10/31/20
R001500,"Chiang, Amy ",N/A,"Honeywell International, Inc.",11/01/19-10/31/20
R009924,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/21-10/31/22
R014003,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R014008,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/22-10/31/23
R014198,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/22-10/31/23
R011291,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",01/03/22-10/31/22
R009925,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/21-10/31/22
R014199,"Chinemere, Obie ",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/22-10/31/23
R003313,"Clark, Thomas D, Jr.",IBEW Local 26,IBEW Local 26,01/17/20-10/31/20
R000132,"Cobbs, Drew P.",Maryland Petroleum Council,American Petroleum Institute,11/01/19-09/29/20
R010529,"Coburn, Michael ",Providence Strategies LLC,Old Dominion Electric Cooperative,11/01/21-07/24/22
R000517,"Collins, Carville B",DLA Piper LLP (US),Columbia Gas of Maryland,11/01/19-10/31/20
R013362,"Collins, Carville B",DLA Piper LLP (US),"Pepco Holdings, Inc.",11/01/22-10/31/23
R008762,"Collins, Carville B",DLA Piper LLP (US),"Pepco Holdings, Inc.",11/01/21-10/31/22
R004376,"Collins, Carville B",DLA Piper LLP (US),"Williams Companies, Inc., The",11/01/20-10/31/21
R013392,"Collins, Carville B",DLA Piper LLP (US),Columbia Gas of Maryland,11/01/22-10/31/23
R000525,"Collins, Carville B",DLA Piper LLP (US),"Pepco Holdings, Inc.",11/01/19-10/31/20
R004367,"Collins, Carville B",DLA Piper LLP (US),Columbia Gas of Maryland,11/01/20-10/31/21
R008765,"Collins, Carville B",DLA Piper LLP (US),"Williams Companies, Inc., The",11/01/21-10/31/22
R000520,"Collins, Carville B",DLA Piper LLP (US),Elkton Gas Company,11/01/19-10/31/20
R000534,"Collins, Carville B",DLA Piper LLP (US),"Williams Companies, Inc., The",11/01/19-10/31/20
R004375,"Collins, Carville B",DLA Piper LLP (US),"Pepco Holdings, Inc.",11/01/20-10/31/21
R008760,"Collins, Carville B",DLA Piper LLP (US),Columbia Gas of Maryland,11/01/21-10/31/22
R014323,"Connelly, Valerie T.",Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.",11/01/22-10/31/23
R002070,"Connelly, Valerie T.",Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.",11/01/19-10/31/20
R005799,"Connelly, Valerie T.",Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.",11/01/20-10/31/21
R010323,"Connelly, Valerie T.",Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.",11/01/21-10/31/22
R011200,"Conner, Charles Robert, III",Venable LLP,Chesapeake Utilities Corporation,12/15/21-10/31/22
R012592,"Conner, Charles Robert, III",Venable LLP,Chesapeake Utilities Corporation,11/01/22-10/31/23
R007088,"Cook, Charles ",Maryland State and DC AFL-CIO,Maryland State and D.C. AFL-CIO,01/11/21-10/31/21
R003052,"Cook, Charles ",Maryland State and DC AFL-CIO,Maryland State and D.C. AFL-CIO,01/03/20-10/31/20
R011083,"Cook, Charles ",Maryland State and DC AFL-CIO,Maryland State and D.C. AFL-CIO,12/07/21-10/31/22
R012623,"Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,11/01/22-10/31/23
R002919,"Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,12/18/19-10/31/20
R006493,"Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,11/01/20-10/31/21
R008199,"Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,11/01/21-10/31/22
R005227,"Covington, Derrick ",Old Line Government Affairs LLC,Brookfield Power US Asset Management LLC,11/01/20-10/31/21
R005257,"Covington, Derrick ",Old Line Government Affairs LLC,"NRG Energy, Inc.",11/01/20-10/31/21
R014795,"Cowan, Eleanor Colmers","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/01/22-10/31/23
R014455,"Cowan, Eleanor Colmers","Compass Government Relations Partners, LLC","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)",11/01/22-10/31/23
R000887,"Craig, Jordan ",American Forest & Paper Association,American Forest & Paper Association,09/05/19-10/31/19
R006598,"Cyphers, Moira ","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/13/20-10/31/21
R006603,"Cyphers, Moira ","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/13/20-10/31/21
R002480,"Cyphers, Moira ","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/08/19-10/31/20
R002481,"Cyphers, Moira ","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/08/19-10/31/20
R006591,"Cyphers, Moira ","Compass Government Relations Partners, LLC",American Wind Energy Association,11/13/20-10/31/21
R010546,"Cyphers, Moira ","Compass Government Relations Partners, LLC",Ceres,11/01/21-06/30/22
R010512,"Cyphers, Moira ","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC",11/01/21-06/30/22
R010545,"Cyphers, Moira ","Compass Government Relations Partners, LLC",American Clean Power,11/01/21-06/30/22
R003774,"Cyphers, Moira ","Compass Government Relations Partners, LLC",American Wind Energy Association,03/09/20-10/31/20
R010470,"Cyphers, Moira ","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/01/21-06/30/22
R003408,"Dahl, Sarah Minner","Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc.",01/24/20-10/30/20
R010421,"DeMarco, James William",Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,11/01/21-10/31/22
R006884,"DeMarco, James William",Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,11/25/20-10/31/21
R007023,"Dennison, Thomas M","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,01/05/21-10/31/21
R011000,"Dennison, Thomas M","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,11/29/21-10/31/22
R013737,"Dietz, Michelle ",The Nature Conservancy,"Nature Conservancy, The",11/01/22-10/31/23
R003390,"Duckman, Ashley S",Maryland Chamber of Commerce,Maryland Chamber of Commerce,01/17/20-10/31/20
R002591,"Eckel, Rianna ",Food & Water Watch,Food & Water Watch,11/15/19-10/31/20
R002771,"Enten, D. Robert",Gordon Feinblatt LLC,"Talen Energy Supply, LLC",12/02/19-10/31/20
R004582,"Enten, D. Robert",Gordon Feinblatt LLC,"Talen Energy Supply, LLC",11/01/20-10/31/21
R003802,"Enten, D. Robert",Gordon Feinblatt LLC,Calpine Energy Solutions LLC,03/11/20-10/31/20
R011908,Environment America,"Neumann, Johanna ",Environment America,04/07/22-10/31/22
R003419,"Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/19-03/24/20
R003912,"Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/20-10/31/21
R003939,"Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,06/01/20-10/31/20
R009642,"Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/21-01/20/22
R003338,"Evans, Gerard ","Evans & Associates, LLC","Synergics Wind Energy, LLC",01/21/20-10/31/20
R011329,"Evans, Hayley ","Evans & Associates, LLC","Synergics Energy Services, LLC",01/06/22-10/31/22
R003343,"Evans, Hayley ","Evans & Associates, LLC","Synergics Wind Energy, LLC",01/21/20-10/31/20
R011330,"Evans, Gerard ","Evans & Associates, LLC","Synergics Energy Services, LLC",01/06/22-10/31/22
R004311,"Favazza, John F",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",12/07/20-10/31/21
R004314,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/20-10/31/21
R000336,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/19-10/31/20
R002433,"Favazza, John F",Manis Canning & Associates,Exelon Corporation,12/16/19-10/31/20
R000334,"Favazza, John F",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",01/06/20-10/31/20
R008109,"Favazza, John F",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",11/15/21-10/31/22
R008112,"Favazza, John F",Manis Canning & Associates,"Pepco Holdings, Inc.",11/01/21-10/31/22
R001927,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/19-10/31/20
R005674,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/20-10/31/21
R005684,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R005767,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,TC Energy,11/01/20-10/31/21
R009447,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/21-10/31/22
R009604,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,TC Energy,11/01/21-10/31/22
R009460,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/21-10/31/22
R001895,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/19-10/31/20
R005760,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/20-10/31/21
R005773,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Waste Management, Inc.",11/01/20-10/31/21
R013760,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R013789,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/22-10/31/23
R014073,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/22-10/31/23
R001899,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,Dominion Energy,11/01/19-10/31/20
R001935,"Fesche, Camille G.",Rifkin Weiner Livingston LLC,"Waste Management, Inc.",11/01/19-10/31/20
